query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.027203798294067383,-0.000147752754855901,0.0008515709196217358,100,1
1,160,0.03013134002685547,0.000655615353025496,0.0010200297692790627,100,1
2,160,0.050165653228759766,0.0008009624434635043,0.0010871998965740204,100,1
3,160,0.034548282623291016,-9.58728778641671e-05,0.0011327617103233933,100,1
4,160,0.030664920806884766,-0.0008019161177799106,0.0008964233566075563,100,1
5,160,0.04374885559082031,0.00011681556497933343,0.0010152219329029322,100,1
6,160,0.039833784103393555,-0.001443855813704431,0.0009992263512685895,100,1
7,160,0.045955657958984375,-0.0011547041358426213,0.001056730397976935,100,1
8,160,0.033684492111206055,-0.0004077577614225447,0.0008844581316225231,100,1
9,160,0.03796553611755371,-0.00013178586959838867,0.0009805260924622416,100,1
10,160,0.04361367225646973,0.00035130977630615234,0.0009818784892559052,100,1
11,160,0.06525802612304688,0.002043306827545166,0.0011386416153982282,100,1
12,160,0.06103634834289551,0.0003577423049136996,0.0027329404838383198,100,1
13,160,0.02377772331237793,-0.0019527100957930088,0.0008051009499467909,100,1
14,160,0.02251744270324707,0.0026012517046183348,0.0008048031013458967,100,1
15,160,0.021681547164916992,0.00067987444344908,0.0007662420975975692,100,1
16,160,0.021248817443847656,0.0006147885578684509,0.0009469850920140743,100,1
17,160,0.2751932144165039,-0.000294430268695578,0.002736524911597371,100,1
18,160,0.025196075439453125,-0.0005290436674840748,0.0008435986237600446,100,1
19,160,0.03877711296081543,-0.0008512354106642306,0.000982583616860211,100,1
