query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,160,0.01769852638244629,9.496926941210404e-05,0.0007794953999109566,100,1
1,160,0.0065114498138427734,0.00010783910693135113,0.0009278286597691476,100,1
2,160,0.026583433151245117,0.00012364386930130422,0.000974235765170306,100,1
3,160,0.009858131408691406,7.379293674603105e-05,0.0009829929331317544,100,1
4,160,0.013394832611083984,5.524873631657101e-05,0.0008537073154002428,100,1
5,160,0.02210068702697754,7.468938565580174e-05,0.0009268312132917345,100,1
6,160,0.014002084732055664,-9.86814484349452e-06,0.0009864954045042396,100,1
7,160,0.009792327880859375,0.000159075265401043,0.0009618909098207951,100,1
8,160,0.020117998123168945,3.3648015232756734e-05,0.0008539683767594397,100,1
9,160,0.020568132400512695,0.00018356322834733874,0.0008998190751299262,100,1
10,160,0.01925039291381836,0.000195851331227459,0.0009668543934822083,100,1
11,160,0.05706429481506348,0.0002493858337402344,0.001102511421777308,100,1
12,160,0.041686058044433594,0.0004988884902559221,0.0021595535799860954,100,1
13,160,0.021094083786010742,0.0002283263165736571,0.0008197184070013463,100,1
14,160,0.0027458667755126953,7.86972013884224e-05,0.0007424288778565824,100,1
15,160,0.009078264236450195,0.0002207517682109028,0.0007350909290835261,100,1
16,160,0.0040438175201416016,0.0002884006535168737,0.0008970212657004595,100,1
17,160,0.16177010536193848,0.0002524757292121649,0.0013965537073090672,100,1
18,160,0.010247230529785156,4.639387043425813e-05,0.0006865935865789652,100,1
19,160,0.018726825714111328,-8.157730189850554e-05,0.0008979660924524069,100,1
