query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,640,0.0829007625579834,-0.00032962799072265624,0.0030401810302251495,100,1
1,640,0.11766719818115234,-0.0006114292144775391,0.0061725642705907,100,1
2,640,0.1463329792022705,-0.0009333682060241699,0.00828987495891561,100,1
3,640,0.11805462837219238,9.415149688720703e-05,0.0010452053723580125,100,1
4,640,0.10870742797851562,-0.00017994165420532227,0.00447211658041125,100,1
5,640,0.1678907871246338,-0.0003695511817932129,0.0067909907508674735,100,1
6,640,0.12910819053649902,-4.090309143066406e-05,0.0016368730099730244,100,1
7,640,0.16096162796020508,-0.00024614572525024416,0.006394838966143695,100,1
8,640,0.11266589164733887,-0.00019803524017333984,0.0027637659580937997,100,1
9,640,0.147202730178833,0.0002325105667114258,0.0013584561685709687,100,1
10,640,0.14719533920288086,-0.00030951499938964845,0.005169824356445233,100,1
11,640,0.14339518547058105,-2.8722286224365234e-05,0.0008999027777587221,100,1
12,640,0.1344459056854248,8.72039794921875e-05,0.00387265924712441,100,1
13,640,0.07217597961425781,-0.00044913530349731444,0.0032606591317452947,100,1
14,640,0.09746122360229492,0.00018585681915283202,0.0007071806604495907,100,1
15,640,0.08150982856750488,0.00018446445465087892,0.0007454715950597334,100,1
16,640,0.09187555313110352,-0.00021283864974975587,0.005507618743786875,100,1
17,640,0.11566972732543945,0.00023633956909179687,0.0006775628795813861,100,1
18,640,0.13090157508850098,0.0002319192886352539,0.0016606620011734073,100,1
19,640,0.1553652286529541,-0.001060326099395752,0.010927015790501121,100,1
