query,n_removed,filter_change,random_mean,random_sd,random_n,rank
0,1280,0.1371445655822754,0.00027179718017578125,0.0007248356925480615,3,1
1,1280,0.17009258270263672,0.0006937185923258463,0.0011976877738619726,3,1
2,1280,0.2225644588470459,-0.002451658248901367,0.004815597445533056,3,1
3,1280,0.15805888175964355,-0.020598729451497395,0.03213224091974676,3,1
4,1280,0.1490647792816162,0.0007736682891845703,0.0011576131211391907,3,1
5,1280,0.19880080223083496,-0.00016236305236816406,0.0026282757861834883,3,1
6,1280,0.17280077934265137,-0.0011116663614908855,0.0021913435851820934,3,1
7,1280,0.17772722244262695,-0.0006173451741536459,0.001522830216427885,3,1
8,1280,0.17327523231506348,0.00041596094767252606,0.0012502788698651034,3,1
9,1280,0.17768621444702148,-0.0007987022399902344,0.0036193569988086376,3,1
10,1280,0.2020280361175537,-0.0006482601165771484,0.002891385515727008,3,1
11,1280,0.23599576950073242,8.384386698404948e-05,0.0004752116444793952,3,1
12,1280,0.22249388694763184,0.001010894775390625,0.0008846153750386912,3,1
13,1280,0.06560659408569336,-0.0006927649180094401,0.001095498205756757,3,1
14,1280,0.1403350830078125,0.0005497137705485026,0.000509944043244795,3,1
15,1280,0.13941383361816406,0.0007990996042887369,0.00022246053335356895,3,1
16,1280,0.08399486541748047,-0.00037089983622233075,0.0002573137293691319,3,1
17,1280,0.3888270854949951,0.0006231466929117838,0.00035024575596688507,3,1
18,1280,0.1710054874420166,-0.00013240178426106772,0.0001450570629563183,3,1
19,1280,0.17398548126220703,-0.00029095013936360675,0.0009497263837071513,3,1
